Título,Año,Género,Puntuación,N_Votos,Director/a,Local_carátula,Web_carátula
Redada asesina 2 (The Raid 2),2014,AC,"7,0",7.199,Gareth Evans,Pictures/the_raid_2_berandal-549665158-msmall.jpg,https://pics.filmaffinity.com/the_raid_2_berandal-549665158-msmall.jpg
Big Hero 6,2014,AC,"7,0",34.883,"Chris Williams, Don Hall",Pictures/big_hero_6-799861615-msmall.jpg,https://pics.filmaffinity.com/big_hero_6-799861615-msmall.jpg
Ataque a los Titanes: Sin lamentos (parte 1),2014,AC,"7,0",259,Tetsurō Araki,Pictures/shingeki_no_kyojin_kui_naki_sentaku_1-753889741-msmall.jpg,https://pics.filmaffinity.com/shingeki_no_kyojin_kui_naki_sentaku_1-753889741-msmall.jpg
Guardianes de la galaxia,2014,AC,"6,9",57.376,James Gunn,Pictures/guardians_of_the_galaxy-595487268-msmall.jpg,https://pics.filmaffinity.com/guardians_of_the_galaxy-595487268-msmall.jpg
X-Men: Días del futuro pasado,2014,AC,"6,9",44.328,Bryan Singer,Pictures/x_men_days_of_future_past-252906568-msmall.jpg,https://pics.filmaffinity.com/x_men_days_of_future_past-252906568-msmall.jpg
Kingsman: Servicio secreto,2014,AC,"6,8",36.843,Matthew Vaughn,Pictures/kingsman_the_secret_service-485444831-msmall.jpg,https://pics.filmaffinity.com/kingsman_the_secret_service-485444831-msmall.jpg
"Ataque a los Titanes, la película. Parte 1. El arco y la flecha escarlatas",2014,AC,"6,8",718,Tetsurō Araki,Pictures/shingeki_no_kyojin_zenpen_guren_no_yumiya_attack_on_titan_part_i_crimson_bow_and_arrow-977564146-msmall.jpg,https://pics.filmaffinity.com/shingeki_no_kyojin_zenpen_guren_no_yumiya_attack_on_titan_part_i_crimson_bow_and_arrow-977564146-msmall.jpg
Al filo del mañana,2014,AC,"6,8",38.354,Doug Liman,Pictures/edge_of_tomorrow-632023834-msmall.jpg,https://pics.filmaffinity.com/edge_of_tomorrow-632023834-msmall.jpg
La LEGO película,2014,AC,"6,7",23.195,"Phil Lord, Christopher Miller",Pictures/the_lego_movie-819614387-msmall.jpg,https://pics.filmaffinity.com/the_lego_movie-819614387-msmall.jpg
"Kenshin, el guerrero samurái 2: Infierno en Kioto",2014,AC,"6,7",1.488,Keishi Ohtomo,Pictures/ruroni_kenshin_kyoto_taika_hen_ruroni_kenshin_the_great_kyoto_fire-395445708-msmall.jpg,https://pics.filmaffinity.com/ruroni_kenshin_kyoto_taika_hen_ruroni_kenshin_the_great_kyoto_fire-395445708-msmall.jpg
A Hard Day,2014,AC,"6,7",880,Kim Seong-hoon,Pictures/kkeut_kkaji_ganda-483043763-msmall.jpg,https://pics.filmaffinity.com/kkeut_kkaji_ganda-483043763-msmall.jpg
Capitán América: El Soldado de Invierno,2014,AC,"6,6",38.897,"Anthony Russo, Joe Russo",Pictures/captain_america_the_winter_soldier-333149071-msmall.jpg,https://pics.filmaffinity.com/captain_america_the_winter_soldier-333149071-msmall.jpg
El amanecer del planeta de los simios,2014,AC,"6,6",44.302,Matt Reeves,Pictures/dawn_of_the_planet_of_the_apes-766600891-msmall.jpg,https://pics.filmaffinity.com/dawn_of_the_planet_of_the_apes-766600891-msmall.jpg
‘71,2014,AC,"6,6",7.060,Yann Demange,Pictures/71-701004893-msmall.jpg,https://pics.filmaffinity.com/71-701004893-msmall.jpg
Corazones de acero,2014,AC,"6,6",35.734,David Ayer,Pictures/fury-657159513-msmall.jpg,https://pics.filmaffinity.com/fury-657159513-msmall.jpg
Rurouni Kenshin 3: La leyenda termina,2014,AC,"6,6",1.246,Keishi Ohtomo,Pictures/ruroni_kenshin_densetsu_no_saigo_hen_rurouni_kenshin_the_legend_ends-710395584-msmall.jpg,https://pics.filmaffinity.com/ruroni_kenshin_densetsu_no_saigo_hen_rurouni_kenshin_the_legend_ends-710395584-msmall.jpg
One Piece 3D2Y,2014,AC,"6,5",119,Naoyuki Itou,Pictures/one_piece_3d2y-844812806-msmall.jpg,https://pics.filmaffinity.com/one_piece_3d2y-844812806-msmall.jpg
Roaring Currents,2014,AC,"6,5",475,Kim Han-min,Pictures/myeong_ryang-908909958-msmall.jpg,https://pics.filmaffinity.com/myeong_ryang-908909958-msmall.jpg
Batman: Asalto en Arkham,2014,AC,"6,5",1.386,"Jay Oliva, Ethan Spaulding",Pictures/batman_assault_on_arkham-947145993-msmall.jpg,https://pics.filmaffinity.com/batman_assault_on_arkham-947145993-msmall.jpg
League of Legends: Un nuevo amanecer (C),2014,AC,"6,4",380,"Rylan Davies, Brad Marques",Pictures/league_of_legends_a_new_dawn_s-443130369-msmall.jpg,https://pics.filmaffinity.com/league_of_legends_a_new_dawn_s-443130369-msmall.jpg
Ghost in the Shell ARISE - border:4 Ghost Stands Alone,2014,AC,"6,4",344,"Susumu Kudo, Kazuchika Kise",Pictures/ghost_in_the_shell_arise_border_4_ghost_stands_alone-161952215-msmall.jpg,https://pics.filmaffinity.com/ghost_in_the_shell_arise_border_4_ghost_stands_alone-161952215-msmall.jpg
Team Fortress: Expiration Date (C),2014,AC,"6,4",66,"Anthony Burch, John Cook, Robin Walker",Pictures/team_fortress_expiration_date_s-247153622-msmall.jpg,https://pics.filmaffinity.com/team_fortress_expiration_date_s-247153622-msmall.jpg
El Hobbit: La batalla de los cinco ejércitos,2014,AC,"6,3",44.848,Peter Jackson,Pictures/the_hobbit_the_battle_of_the_five_armies-282438316-msmall.jpg,https://pics.filmaffinity.com/the_hobbit_the_battle_of_the_five_armies-282438316-msmall.jpg
Animator vs. Animation IV,2014,AC,"6,3",188,Alan Becker,Pictures/animator_vs_animation_iv-101809897-msmall.jpg,https://pics.filmaffinity.com/animator_vs_animation_iv-101809897-msmall.jpg
Ghost in the Shell Arise -border:3 Ghost Tears,2014,AC,"6,3",374,Kazuchika Kise,Pictures/kokaku_kidotai_arise_border_3_ghost_tears-710925606-msmall.jpg,https://pics.filmaffinity.com/kokaku_kidotai_arise_border_3_ghost_tears-710925606-msmall.jpg
John Wick (Otro día para matar),2014,AC,"6,3",24.453,"Chad Stahelski, David Leitch",Pictures/john_wick-166872838-msmall.jpg,https://pics.filmaffinity.com/john_wick-166872838-msmall.jpg
Kundo: Age of the Rampant,2014,AC,"6,3",184,Yun Jong-bin,Pictures/kundo_min_ran_eui_si_dae-643781324-msmall.jpg,https://pics.filmaffinity.com/kundo_min_ran_eui_si_dae-643781324-msmall.jpg
Man On High Heels,2014,AC,"6,2",87,Jang Jin,Pictures/haiheel-615953257-msmall.jpg,https://pics.filmaffinity.com/haiheel-615953257-msmall.jpg
The Equalizer (El protector),2014,AC,"6,2",20.285,Antoine Fuqua,Pictures/the_equalizer-392015711-msmall.jpg,https://pics.filmaffinity.com/the_equalizer-392015711-msmall.jpg
Mickey Mouse: La caldera (TV) (C),2014,AC,"6,2",63,Paul Rudish,Pictures/walt_disney_s_mickey_mouse_the_boiler_room_tv_s-546330180-msmall.jpg,https://pics.filmaffinity.com/walt_disney_s_mickey_mouse_the_boiler_room_tv_s-546330180-msmall.jpg
Volverán los prados,2014,BE,"6,6",145,Ermanno Olmi,Pictures/torneranno_i_prati-711677124-msmall.jpg,https://pics.filmaffinity.com/torneranno_i_prati-711677124-msmall.jpg
Corazones de acero,2014,BE,"6,6",35.734,David Ayer,Pictures/fury-657159513-msmall.jpg,https://pics.filmaffinity.com/fury-657159513-msmall.jpg
Gloria del Pacífico,2014,BE,"6,6",65,Juan Carlos Oganes,Pictures/gloria_del_pacifico-962247970-msmall.jpg,https://pics.filmaffinity.com/gloria_del_pacifico-962247970-msmall.jpg
